Year,State,Yes,No,Category,Condition,Location 1
1995,"Nationwide (States, DC, and Territories)",85.9%,14.1%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
1996,"Nationwide (States, DC, and Territories)",84.7%,15.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
1997,"Nationwide (States, DC, and Territories)",85.7%,14.4%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
1998,"Nationwide (States, DC, and Territories)",84.6%,15.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
1999,"Nationwide (States, DC, and Territories)",85.5%,14.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2000,"Nationwide (States, DC, and Territories)",86.1%,13.9%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2003,"Nationwide (States, DC, and Territories)",83%,17%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2004,"Nationwide (States, DC, and Territories)",82.8%,17.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2005,"Nationwide (States, DC, and Territories)",82.9%,17.100000000000001%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2006,"Nationwide (States, DC, and Territories)",83%,17%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2007,"Nationwide (States, DC, and Territories)",83.4%,16.600000000000001%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2008,"Nationwide (States, DC, and Territories)",82.9%,17.100000000000001%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2009,"Nationwide (States, DC, and Territories)",83%,17%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
2010,"Nationwide (States, DC, and Territories)",82.1%,17.899999999999999%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nationwide (States, DC, and Territories)"
