Year,Gender,Percentage of  Current Smokers,,,
1984,Total,24.90%,,,
1984,Female,23%,,,
1984,Male,26.90%,,,
1985,Female,25.20%,,,
1985,Total,26.70%,,,
1985,Male,28.20%,,,
1986,Female,23.30%,,,
1986,Male,28%,,,
1986,Total,25.60%,,,
1987,Female,20.10%,,,
1987,Male,22.80%,,,
1987,Total,21.40%,,,
1988,Total,22.70%,,,
1988,Female,19.90%,,,
1988,Male,25.60%,,,
1989,Male,22.50%,,,
1989,Total,21.10%,,,
1989,Female,19.80%,,,
1990,Female,17.90%,,,
1990,Total,19.40%,,,
1990,Male,21.10%,,,
1991,Total,19.20%,,,
1991,Female,15.80%,,,
1991,Male,22.70%,,,
1992,Total,20%,,,
1992,Male,22.30%,,,
1992,Female,17.80%,,,
1993,Male,20.70%,,,
1993,Female,15.80%,,,
1993,Total,18.20%,,,
1994,Female,14.40%,,,
1994,Male,18.90%,,,
1994,Total,16.60%,,,
1995,Female,13.20%,,,
1995,Total,15.90%,,,
1995,Male,18.70%,,,
1996,Total,17.80%,,,
1996,Female,14.80%,,,
1996,Male,20.80%,,,
1997,Male,21.10%,,,
1997,Female,13.90%,,,
1997,Total,17.40%,,,
1998,Total,17.50%,,,
1998,Female,14.40%,,,
1998,Male,20.60%,,,
1999,Female,14.60%,,,
1999,Total,17.10%,,,
1999,Male,19.70%,,,
2000,Male,18.70%,,,
2000,Total,16.30%,,,
2000,Female,13.90%,,,
2001,Male,20.20%,,,
2001,Total,16.40%,,,
2001,Female,12.70%,,,
2002,Male,18.80%,,,
2002,Total,15.80%,,,
2002,Female,12.80%,,,
2003,Female,12.50%,,,
2003,Total,15.40%,,,
2003,Male,18.40%,,,
2004,Total,14.60%,,,
2004,Male,18.20%,,,
2004,Female,11.10%,,,
2005,Total,14%,,,
2005,Female,11.10%,,,
2005,Male,17%,,,
2006,Male,17.50%,,,
2006,Female,9.10%,,,
2006,Total,13.30%,,,
2007,Male,17.10%,,,
2007,Female,10.70%,,,
2007,Total,13.80%,,,
2008,Total,13.30%,,,
2008,Female,10.60%,,,
2008,Male,16.50%,,,
2009,Female,10.50%,,,
2009,Male,15.80%,,,
2009,Total,13.10%,,,
2010,Total,11.90%,,,
2010,Female,9.60%,,,
2010,Male,14.70%,,,
2011,Male,14.90%,,,
2011,Female,9.30%,,,
2011,Total,12%,,,
2012,Female,10%,,,
2012,Male,15.50%,,,
2012,Total,12.70%,,,
2013,Female,8.50%,,,
2013,Total,11.70%,,,
2013,Male,15.10%,,,
