Date,Dividends
2008-09-25,0.280000
2007-09-26,0.108000
2007-03-28,0.107000
2006-09-27,0.107000
2006-03-28,0.107000
2005-09-27,0.113000
2004-09-27,0.114000
2004-03-26,0.113000
2003-09-25,0.107000
2003-03-26,0.107000
2002-09-25,0.105000
2002-03-26,0.054000
2001-09-25,0.103000
2001-03-27,0.104000
2000-09-26,0.118000
2000-03-28,0.116500
1999-09-27,0.114000
1999-03-26,0.087500
1998-09-25,0.090000
1998-03-26,0.098000
1997-09-25,0.100000
1997-03-25,0.121500
1996-09-25,0.113000
1996-03-26,0.117500
1995-09-27,0.115000
1995-03-24,0.125000
1994-09-23,0.125000
1994-03-24,0.117500
1993-09-23,0.117500
1993-03-24,0.102500
1992-09-23,0.098500
1992-03-24,0.080000
1991-09-23,1.920450
1991-03-22,0.068640
1990-09-21,0.068640
1990-03-23,0.060910
1989-09-22,0.065910
1989-03-23,0.066360
1988-09-23,0.031820
1988-03-24,0.065910
1987-09-23,0.060000
1987-09-15,0.006360
1987-03-24,0.045450
1986-10-24,0.054090
1986-04-23,0.046360
1985-10-24,0.039090
1985-04-23,0.037730
1984-10-24,0.033640
1984-04-23,0.037270
1983-10-24,0.035450
1983-04-25,0.034550
