Date,Value
2010-12-31,5433056.536
2009-12-31,5311840.184
2008-12-31,5656838.878
2007-12-31,5828696.5
2006-12-31,5737615.554
2005-12-31,5826393.624
2004-12-31,5790765.052
2003-12-31,5681664.468
2002-12-31,5650949.676
2001-12-31,5601404.839
2000-12-31,5713560.034
1999-12-31,5531691.502
1998-12-31,5456092.63
1997-12-31,5419440.965
1996-12-31,5286046.506
1995-12-31,5156168.7
1994-12-31,5121559.554
1993-12-31,5029767.21
1992-12-31,4922195.765
1991-12-31,4826703.418
1990-12-31,4768137.761
1989-12-31,4951084.391
1988-12-31,4888664.717
1987-12-31,4684431.152
1986-12-31,4491176.585
1985-12-31,4486460.823
1984-12-31,4470326.023
1983-12-31,4334925.715
1982-12-31,4300598.928
1981-12-31,4531792.277
1980-12-31,4721170.825
1979-12-31,4900373.448
1978-12-31,4889112.091
1977-12-31,4742292.745
1976-12-31,4613100.668
1975-12-31,4406329.539
1974-12-31,4598487.673
1973-12-31,4770194.948
1972-12-31,4564952.958
1971-12-31,4356770.034
1970-12-31,4328904.501
1969-12-31,4024748.853
1968-12-31,3831354.94
1967-12-31,3695708.943
1966-12-31,3561878.111
1965-12-31,3390922.571
1964-12-31,3255995.306
1963-12-31,3119230.874
1962-12-31,2987207.873
1961-12-31,2880505.507
1960-12-31,2890696.1
