Date,Value
2019-12-31,17898.216
2018-12-31,17040.317
2017-12-31,16279.818
2016-12-31,15551.073
2015-12-31,14790.825
2014-12-31,14068.314
2013-12-31,13474.773
2012-12-31,12840.457
2011-12-31,11802.752
2010-12-31,10424.989
2009-12-31,8955.682
2008-12-31,7425.251
2007-12-31,6440.884
2006-12-31,6202.144
2005-12-31,6057.852
2004-12-31,5755.2
2003-12-31,4571.797
2002-12-31,3990.443
2001-12-31,3587.188
2000-12-31,3543.94
1999-12-31,3786.63
1998-12-31,3978.42
1997-12-31,4095.44
1996-12-31,4098.05
1995-12-31,4018.99
1994-12-31,3878.79
1993-12-31,3689.85
1992-12-31,3346.96
1991-12-31,2959.52
1990-12-31,2664.53
1989-12-31,2447.21
1988-12-31,2269.8
1987-12-31,2040.74
1986-12-31,1824.02
1985-12-31,1576.86
1984-12-31,1348.95
1983-12-31,1169.27
1982-12-31,964.618
1981-12-31,799.421
1980-12-31,718.708
