Date,Value
2019-12-31,6975.957
2018-12-31,6693.348
2017-12-31,6412.495
2016-12-31,6117.444
2015-12-31,5851.326
2014-12-31,5472.539
2013-12-31,5173.936
2012-12-31,4718.314
2011-12-31,4512.451
2010-12-31,4304.189
2009-12-31,4095.081
2008-12-31,4441.666
2007-12-31,4584.355
2006-12-31,4371.081
2005-12-31,4013.141
2004-12-31,3596.227
2003-12-31,3355.171
2002-12-31,3269.226
2001-12-31,3412.072
2000-12-31,3506.3
1999-12-31,3249.4
1998-12-31,3059.7
1997-12-31,2868.9
1996-12-31,2676.6
1995-12-31,2496.1
1994-12-31,2359.4
1993-12-31,2194.4
1992-12-31,2071.0
1991-12-31,2010.6
1990-12-31,1907.9
1989-12-31,1799.3
1988-12-31,1658.7
1987-12-31,1548.3
1986-12-31,1423.7
1985-12-31,1338.7
1984-12-31,1229.1
1983-12-31,1108.9
1982-12-31,1042.3
1981-12-31,1011.1
1980-12-31,882.6
