Date,Value
2019-12-31,7852.22
2018-12-31,7473.852
2017-12-31,7168.6
2016-12-31,6917.034
2015-12-31,6644.273
2014-12-31,6432.412
2013-12-31,6139.217
2012-12-31,6106.51
2011-12-31,6055.624
2010-12-31,5994.169
2009-12-31,6044.522
2008-12-31,5477.064
2007-12-31,5047.392
2006-12-31,4699.782
2005-12-31,4464.684
2004-12-31,4158.897
2003-12-31,3936.06
2002-12-31,3718.912
2001-12-31,3505.57
2000-12-31,3353.5
1999-12-31,3177.6
1998-12-31,3026.0
1997-12-31,2935.4
1996-12-31,2848.4
1995-12-31,2732.7
1994-12-31,2613.2
1993-12-31,2520.6
1992-12-31,2431.6
1991-12-31,2298.3
1990-12-31,2143.2
1989-12-31,1968.5
1988-12-31,1832.6
1987-12-31,1741.4
1986-12-31,1648.9
1985-12-31,1541.9
1984-12-31,1409.0
1983-12-31,1299.5
1982-12-31,1191.3
1981-12-31,1072.0
1980-12-31,946.7
