Date,Value
2012-12-31,1492200.0
2011-12-31,1520100.0
2010-12-31,1569417.0
2009-12-31,1563996.0
2008-12-31,1540000.0
2007-12-31,1555000.0
2006-12-31,1498000.0
2005-12-31,1546000.0
2004-12-31,1473000.0
2003-12-31,1480000.0
2002-12-31,1467000.0
2001-12-31,1420700.0
2000-12-31,1454800.0
1999-12-31,1575000.0
1998-12-31,1594000.0
1997-12-31,1533300.0
1996-12-31,1572100.0
1995-12-31,1635600.0
1994-12-31,1720000.0
1993-12-31,1820000.0
1992-12-31,1920000.0
1991-12-31,2120000.0
1990-12-31,2180000.0
1989-12-31,2240000.0
1985-12-31,2151600.0
