Date,Value
2013-12-31,6153000000.0
2012-12-31,8950000000.0
2011-12-31,8945000000.0
2010-12-31,8158000000.0
2009-12-31,6874000000.0
2008-12-31,6743000000.0
2007-12-31,7750000000.0
2006-12-31,7411000000.0
2005-12-31,6605000000.0
2004-12-31,6637000000.0
2003-12-31,5569000000.0
2002-12-31,4943000000.0
2001-12-31,5691000000.0
2000-12-31,7558000000.0
1999-12-31,11587000000.0
1998-12-31,15837000000.0
1997-12-31,14546000000.0
1996-12-31,10893000000.0
1995-12-31,11185000000.0
1994-12-31,11498000000.0
1993-12-31,13889000000.0
1992-12-31,13991000000.0
1991-12-31,12510000000.0
1990-12-31,10814000000.0
1989-12-31,11326000000.0
1988-12-31,11712000000.0
1987-12-31,12158000000.0
1986-12-31,11382000000.0
1985-12-31,10568000000.0
1984-12-31,11678000000.0
1983-12-31,13734000000.0
1982-12-31,13964000000.0
1981-12-31,13450000000.0
1980-12-31,10653000000.0
1979-12-31,9709000000.0
1978-12-31,14108000000.0
1977-12-31,14596000000.0
1976-12-31,15531000000.0
1975-12-31,15951000000.0
1974-12-31,12013000000.0
1973-12-31,11850000000.0
1972-12-31,10601000000.0
1971-12-31,11508000000.0
1970-12-31,8627000000.0
1969-12-31,11272000000.0
1968-12-31,8072000000.0
1967-12-31,7123000000.0
1966-12-31,8335000000.0
1965-12-31,11067000000.0
1964-12-31,12050000000.0
1963-12-31,8999000000.0
1962-12-31,5719000000.0
1961-12-31,6377000000.0
1960-12-31,5965000000.0
