Date,Value
2013-12-31,759000000.0
2012-12-31,1215000000.0
2011-12-31,1014000000.0
2010-12-31,1113000000.0
2009-12-31,973000000.0
2008-12-31,944000000.0
2007-12-31,821000000.0
2006-12-31,647000000.0
2005-12-31,523000000.0
2004-12-31,558000000.0
2003-12-31,592000000.0
2002-12-31,505000000.0
2001-12-31,502000000.0
2000-12-31,345000000.0
1999-12-31,234000000.0
1998-12-31,280000000.0
1997-12-31,600000000.0
1996-12-31,595000000.0
1995-12-31,805000000.0
1994-12-31,1028000000.0
1993-12-31,1008000000.0
1992-12-31,570000000.0
1991-12-31,550000000.0
1990-12-31,358000000.0
1989-12-31,1879000000.0
1988-12-31,1912000000.0
1987-12-31,2114000000.0
1986-12-31,479000000.0
1985-12-31,667000000.0
1984-12-31,362000000.0
1983-12-31,413000000.0
1982-12-31,198000000.0
1981-12-31,451000000.0
1980-12-31,326000000.0
1979-12-31,223000000.0
1978-12-31,321000000.0
1977-12-31,357000000.0
1976-12-31,449000000.0
1975-12-31,333000000.0
1974-12-31,581000000.0
1973-12-31,652000000.0
1972-12-31,667000000.0
1971-12-31,526000000.0
1970-12-31,32000000.0
1969-12-31,70000000.0
1968-12-31,70000000.0
1967-12-31,84000000.0
1966-12-31,144000000.0
1965-12-31,230000000.0
1964-12-31,366000000.0
1963-12-31,358000000.0
1962-12-31,264000000.0
1961-12-31,238000000.0
1960-12-31,219000000.0
