Date,Value
2012-12-31,94.2767
2011-12-31,95.33196
2010-12-31,93.29339
2009-12-31,87.73228
2008-12-31,84.21237
2007-12-31,82.25604
2006-12-31,81.2776
2005-12-31,81.31697
2004-12-31,80.742
2003-12-31,80.66302
2002-12-31,78.7994
2001-12-31,68.61805
2000-12-31,67.84923
1999-12-31,71.906
1998-12-31,70.39411
1996-12-31,77.45111
1995-12-31,77.95615
1994-12-31,77.97709
1993-12-31,78.41017
1992-12-31,76.91132
1991-12-31,72.49246
1990-12-31,70.80497
1989-12-31,67.29837
1988-12-31,64.65072
1987-12-31,61.99869
1986-12-31,59.34005
1985-12-31,58.1647
1984-12-31,58.29439
1983-12-31,57.45734
1982-12-31,56.86724
1981-12-31,55.58787
1980-12-31,53.45796
1979-12-31,52.49955
1978-12-31,53.29671
1977-12-31,52.8749
1976-12-31,54.73154
1975-12-31,51.04408
1974-12-31,48.96612
1973-12-31,48.5346
1972-12-31,47.97844
1971-12-31,47.04594
