Date,Value
2012-12-31,100.382
2011-12-31,100.447
2010-12-31,101.07
2009-12-31,101.389
2008-12-31,99.562
2007-12-31,100.786
2006-12-31,99.7
2005-12-31,102.105
2004-12-31,102.219
2003-12-31,100.293
2002-12-31,99.205
2001-12-31,101.571
2000-12-31,101.46
1998-12-31,104.284
1996-12-31,100.565
1995-12-31,101.966
1994-12-31,99.694
1993-12-31,100.197
1991-12-31,101.867
1990-12-31,99.814
1987-12-31,100.522
1986-12-31,100.309
1985-12-31,98.984
1984-12-31,99.561
1983-12-31,100.163
1982-12-31,100.546
1981-12-31,101.015
1978-12-31,100.475
1972-12-31,55.853
