Date,Value
2012-12-31,139.209
2011-12-31,138.977
2010-12-31,139.491
2009-12-31,139.906
2008-12-31,140.334
2007-12-31,141.746
2006-12-31,142.373
2005-12-31,141.279
2004-12-31,140.094
2003-12-31,137.545
2002-12-31,135.638
2001-12-31,133.58
2000-12-31,132.788
1999-12-31,132.093
1998-12-31,131.951
1996-12-31,130.851
1995-12-31,129.584
1994-12-31,127.781
1993-12-31,127.22
1991-12-31,124.913
1990-12-31,123.371
1989-12-31,121.708
1988-12-31,118.976
1987-12-31,115.794
1986-12-31,113.363
1985-12-31,111.334
1984-12-31,109.264
1983-12-31,108.163
1982-12-31,108.967
1981-12-31,107.48
1980-12-31,104.909
1979-12-31,101.084
1978-12-31,96.769
1977-12-31,91.612
1976-12-31,84.044
1975-12-31,84.069
1974-12-31,80.736
1973-12-31,77.536
1972-12-31,71.972
1971-12-31,68.802
