Date,Value
2013-12-31,18.723
2012-12-31,18.892
2011-12-31,19.06
2010-12-31,19.228
2009-12-31,19.394
2008-12-31,19.562
2007-12-31,19.731
2006-12-31,19.901
2005-12-31,20.072
2004-12-31,20.243
2003-12-31,20.417
2002-12-31,20.591
2001-12-31,20.766
2000-12-31,20.943
1999-12-31,21.258
1998-12-31,21.623
1997-12-31,21.992
1996-12-31,22.364
1995-12-31,22.743
1994-12-31,23.125
1993-12-31,23.512
1992-12-31,23.903
1991-12-31,24.299
1990-12-31,24.7
1989-12-31,24.911
1988-12-31,25.058
1987-12-31,25.207
1986-12-31,25.356
1985-12-31,25.506
1984-12-31,25.656
1983-12-31,25.806
1982-12-31,25.958
1981-12-31,26.11
1980-12-31,26.262
1979-12-31,26.308
1978-12-31,26.318
1977-12-31,26.327
1976-12-31,26.337
1975-12-31,26.347
1974-12-31,26.357
1973-12-31,26.367
1972-12-31,26.377
1971-12-31,26.387
1970-12-31,26.398
1969-12-31,26.667
1968-12-31,27.026
1967-12-31,27.388
1966-12-31,27.753
1965-12-31,28.121
1964-12-31,28.492
1963-12-31,28.866
1962-12-31,29.243
1961-12-31,29.623
1960-12-31,30.004
