Date,Value
2013-12-31,81.277
2012-12-31,81.108
2011-12-31,80.94
2010-12-31,80.772
2009-12-31,80.606
2008-12-31,80.438
2007-12-31,80.269
2006-12-31,80.099
2005-12-31,79.928
2004-12-31,79.757
2003-12-31,79.583
2002-12-31,79.409
2001-12-31,79.234
2000-12-31,79.057
1999-12-31,78.742
1998-12-31,78.377
1997-12-31,78.008
1996-12-31,77.636
1995-12-31,77.257
1994-12-31,76.875
1993-12-31,76.488
1992-12-31,76.097
1991-12-31,75.701
1990-12-31,75.3
1989-12-31,75.089
1988-12-31,74.942
1987-12-31,74.793
1986-12-31,74.644
1985-12-31,74.494
1984-12-31,74.344
1983-12-31,74.194
1982-12-31,74.042
1981-12-31,73.89
1980-12-31,73.738
1979-12-31,73.692
1978-12-31,73.682
1977-12-31,73.673
1976-12-31,73.663
1975-12-31,73.653
1974-12-31,73.643
1973-12-31,73.633
1972-12-31,73.623
1971-12-31,73.613
1970-12-31,73.602
1969-12-31,73.333
1968-12-31,72.974
1967-12-31,72.612
1966-12-31,72.247
1965-12-31,71.879
1964-12-31,71.508
1963-12-31,71.134
1962-12-31,70.757
1961-12-31,70.377
1960-12-31,69.996
